% Model:              Numerators_sphereDipole.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 17 2025, 12:59
% Dimension:          1
% Nodes:              1001
% Expressions:        20
% Description:        Radiation pattern
% theta                   (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle          (emw.normEfar^2)         Elevation angle
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.18849555921538758       2.388619188096269E-16    0.18849555921538755      2.4554119832667493E-16   0.18849555921538755      2.520024797319521E-16    0.18849555921538755      2.5769165513787336E-16   0.18849555921538755      2.6351557061252387E-16   0.18849555921538755      2.696462304361784E-16    0.18849555921538755      2.7576532043673657E-16   0.18849555921538755      2.8112614226043517E-16   0.18849555921538755      2.8740937452895965E-16   0.18849555921538755      2.9286563648917815E-16   0.18849555921538755
0.19477874452256716       1.304665586109753E-15    0.19477874452256716      1.3281395327211996E-15   0.19477874452256716      1.3515664038587753E-15   0.19477874452256716      1.3709491490888006E-15   0.19477874452256716      1.3921993166166582E-15   0.19477874452256716      1.4172927030278733E-15   0.19477874452256716      1.4435913538631305E-15   0.19477874452256716      1.4662968749313458E-15   0.19477874452256716      1.4960971508193093E-15   0.19477874452256716      1.5231681098044552E-15   0.19477874452256716
0.20106192982974677       2.3599993364565372E-15   0.20106192982974677      2.3952158090523898E-15   0.20106192982974677      2.430967273541366E-15    0.20106192982974677      2.45962271499244E-15     0.20106192982974677      2.491609940055623E-15    0.20106192982974677      2.530605408017988E-15    0.20106192982974677      2.5720318760223485E-15   0.20106192982974677      2.6073336449805588E-15   0.20106192982974677      2.6555271875288117E-15   0.20106192982974677      2.6989626838724147E-15   0.20106192982974677
0.20734511513692636       5.602772129529922E-16    0.20734511513692636      5.666618038324241E-16    0.20734511513692636      5.732090619702342E-16    0.20734511513692636      5.782327948455669E-16    0.20734511513692636      5.841831313946159E-16    0.20734511513692636      5.918297779336827E-16    0.20734511513692636      6.002892935042876E-16    0.20734511513692636      6.07551908770753E-16     0.20734511513692636      6.181048711904477E-16    0.20734511513692636      6.27641778769554E-16     0.20734511513692636
0.21362830044410594       6.3340692810581385E-16   0.2136283004441059       6.54209901617309E-16     0.2136283004441059       6.752131878389185E-16    0.2136283004441059       6.946569995642244E-16    0.2136283004441059       7.150655154467867E-16    0.2136283004441059       7.375723976211003E-16    0.2136283004441059       7.608366413491612E-16    0.2136283004441059       7.823376019985049E-16    0.2136283004441059       8.074859750618925E-16    0.2136283004441059       8.31170404873137E-16     0.2136283004441059
0.21991148575128552       2.3083461005160654E-15   0.2199114857512855       2.360166796779242E-15    0.2199114857512855       2.4127371328615598E-15   0.2199114857512855       2.4587632605518484E-15   0.2199114857512855       2.507649656928967E-15    0.2199114857512855       2.563304012111124E-15    0.2199114857512855       2.6210535196030294E-15   0.2199114857512855       2.6723112759131826E-15   0.2199114857512855       2.7357503802863197E-15   0.2199114857512855       2.7938307010154085E-15   0.2199114857512855
0.2261946710584651        1.239879460729702E-15    0.2261946710584651       1.2662600974108662E-15   0.2261946710584651       1.292847017180052E-15    0.2261946710584651       1.3158629502064363E-15   0.2261946710584651       1.3401271591594808E-15   0.2261946710584651       1.3675222730465043E-15   0.2261946710584651       1.3958029126345461E-15   0.2261946710584651       1.4205446305675621E-15   0.2261946710584651       1.451369510196498E-15    0.2261946710584651       1.4790026836248327E-15   0.2261946710584651
0.2324778563656447        2.4642079340187788E-16   0.2324778563656447       2.5322214528422265E-16   0.2324778563656447       2.5960164539900645E-16   0.2324778563656447       2.650739998301708E-16    0.2324778563656447       2.7078424744960634E-16   0.2324778563656447       2.768745255802814E-16    0.2324778563656447       2.8297232870645406E-16   0.2324778563656447       2.882106451808875E-16    0.2324778563656447       2.945223297870293E-16    0.2324778563656447       3.000505721870212E-16    0.2324778563656447
0.23876104167282428       1.7053442908237688E-15   0.23876104167282428      1.7316845764769538E-15   0.23876104167282428      1.7581876274114769E-15   0.23876104167282428      1.7793085096033154E-15   0.23876104167282428      1.8029373846722517E-15   0.23876104167282428      1.831659640507728E-15    0.23876104167282428      1.862086216679098E-15    0.23876104167282428      1.8878641195253443E-15   0.23876104167282428      1.9230358316758973E-15   0.23876104167282428      1.9547528351307087E-15   0.23876104167282428
0.24504422698000386       1.6101920667724356E-15   0.24504422698000386      1.6294052600787783E-15   0.24504422698000386      1.649082287483446E-15    0.24504422698000386      1.663862697372184E-15    0.24504422698000386      1.6810674724193334E-15   0.24504422698000386      1.7030947187320883E-15   0.24504422698000386      1.7269770576244152E-15   0.24504422698000386      1.7468397503169866E-15   0.24504422698000386      1.775711373504561E-15    0.24504422698000386      1.801479266005292E-15    0.24504422698000386
